,Public base editor,Internal base editor,Celltype,Model name,Base editor type
0,ABE,ABE,mES,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,ABE
1,ABE-CP1040,ABE-CP1040,mES,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,ABE
2,BE4,BE4,mES,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
3,BE4-CP1028,BE4-CP1028,mES,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
4,AID,AID,mES,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
5,CDA,CDA,mES,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
6,eA3A,eA3A,mES,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
7,evoAPOBEC,evoAPOBEC,mES,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
8,ABE,ABE,HEK293T,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,ABE
9,ABE-CP1040,ABE-CP1040,HEK293T,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,ABE
10,BE4,BE4,HEK293T,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
11,BE4-CP1028,BE4-CP1028,HEK293T,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
12,AID,AID,HEK293T,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
13,CDA,CDA,HEK293T,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
14,eA3A,eA3A,HEK293T,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
15,evoAPOBEC,evoAPOBEC,HEK293T,0_190524_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
16,eA3A-T44DS45A,eA3Amax_T44DS45A,HEK293T,0_190723_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
17,BE4-H47ES48A,BE4max_H47ES48A,HEK293T,0_190723_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
18,eA3A-T31A,eA3A_T31A,mES,0_190829_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
19,eA3A-T31AT44A,eA3A_T31AT44A,mES,0_190829_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
20,BE4-H47ES48A,BE4_H47ES48A,mES,0_190829_enc_64x2_dec_256x2_nc_r5_d0.05,CBE
